0 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
1 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
2 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
3 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
4 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
5 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
6 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
7 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
8 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
9 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
789 1 0
665 1 0
793 1 0
153 1 0
669 1 0
797 1 0
545 1 0
293 1 0
421 1 0
41 1 0
685 1 0
45 1 0
181 1 0
437 1 0
573 1 0
189 1 0
705 1 0
69 1 0
73 1 0
713 1 0
81 1 0
209 1 0
729 1 0
345 1 0
473 1 0
609 1 0
741 1 0
229 1 0
613 1 0
357 1 0
745 1 0
249 1 0
365 1 0
493 1 0
237 1 0
109 1 0
369 1 0
113 1 0
117 1 0
377 1 0
637 1 0
10 50
257 1 0
129 1 0
773 1 0
137 1 0
777 1 0
13 1 0
785 1 0
145 1 0
529 1 0
